ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District,Gnome,Flamingo
11742676,JC329863,06/29/2019 01:10:00 PM,005XX W OAK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,1823,18,False,False
11741396,JC328606,06/29/2019 10:00:00 PM,0000X E Ohio St,810,THEFT,OVER $500,HOTEL/MOTEL,1834,18,False,False
11740265,JC327340,06/28/2019 11:00:00 AM,024XX N CANNON DR,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),1935,19,False,False
11741406,JC328949,06/28/2019 09:00:00 PM,024XX N CLARK ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,1935,19,False,False
11739097,JC325387,06/28/2019 12:00:00 AM,020XX W HURON ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1221,12,False,False
11742644,JC329936,06/28/2019 08:40:00 AM,046XX W North Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,2533,25,False,False
11735370,JC321102,06/25/2019 09:55:00 AM,002XX E ILLINOIS ST,810,THEFT,OVER $500,RESIDENCE,1834,18,False,False
11743935,JC331973,06/27/2019 11:00:00 PM,007XX W BITTERSWEET PL,810,THEFT,OVER $500,APARTMENT,1915,19,False,False
11742660,JC329938,06/27/2019 10:00:00 AM,017XX N HOYNE AVE,810,THEFT,OVER $500,APARTMENT,1434,14,False,False
11736555,JC323207,06/26/2019 02:47:00 PM,009XX W EASTMAN ST,820,THEFT,$500 AND UNDER,STREET,1822,18,False,False
11737847,JC324111,06/26/2019 12:00:00 AM,028XX N PINE GROVE AVE,820,THEFT,$500 AND UNDER,APARTMENT,1934,19,False,False
11737813,JC324379,06/26/2019 01:45:00 PM,012XX N ASTOR ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,1824,18,False,False
11737848,JC324124,06/26/2019 07:45:00 PM,017XX W WEBSTER AVE,810,THEFT,OVER $500,PARK PROPERTY,1432,14,False,False
11735380,JC321075,06/25/2019 12:01:00 AM,022XX N WAYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,1811,18,False,False
11736620,JC322297,06/25/2019 03:59:00 AM,033XX W EVERGREEN AVE,820,THEFT,$500 AND UNDER,RESIDENCE,1422,14,False,False
11737835,JC323824,06/25/2019 08:00:00 AM,039XX W EDDY ST,810,THEFT,OVER $500,STREET,1732,17,False,False
11735358,JC320782,06/24/2019 06:20:00 PM,041XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),214,2,False,False
